ID,State,Country,Lat,Long,Date,ConfirmedCases,Fatalities
124,,Albania,41.1533,20.1683,2020-02-20,15,0
125,,Albania,41.1533,20.1683,2020-02-21,20,0
126,,Albania,41.1533,20.1683,2020-02-22,30,0
126,,Albania,41.1533,20.1683,2020-02-23,40,0
127,,Albania,41.1533,20.1683,2020-02-24,45,0
128,,Albania,41.1533,20.1683,2020-02-25,60,0
129,,Albania,41.1533,20.1683,2020-02-26,70,0
130,,Albania,41.1533,20.1683,2020-02-27,75,0
131,,Algeria,28.0339,1.6596,2020-01-22,0,0
132,,Algeria,28.0339,1.6596,2020-01-23,0,0
133,,Algeria,28.0339,1.6596,2020-01-24,0,0
134,,Algeria,28.0339,1.6596,2020-01-25,2,0
135,,Algeria,28.0339,1.6596,2020-01-26,4,0
136,,Algeria,28.0339,1.6596,2020-01-27,5,0
137,,Algeria,28.0339,1.6596,2020-01-28,6,0
138,,Algeria,28.0339,1.6596,2020-01-29,7,0
139,,Algeria,28.0339,1.6596,2020-01-30,8,0
140,,Algeria,28.0339,1.6596,2020-01-31,10,0
141,,Algeria,28.0339,1.6596,2020-02-01,12,0
142,,Algeria,28.0339,1.6596,2020-02-02,11,0
143,,Algeria,28.0339,1.6596,2020-02-03,15,0
144,,Algeria,28.0339,1.6596,2020-02-04,16,0
145,,Algeria,28.0339,1.6596,2020-02-05,20,0
146,,Algeria,28.0339,1.6596,2020-02-06,22,0
147,,Algeria,28.0339,1.6596,2020-02-07,30,0
148,,Algeria,28.0339,1.6596,2020-02-08,31,0
149,,Algeria,28.0339,1.6596,2020-02-09,35,0
150,,Algeria,28.0339,1.6596,2020-02-10,36,0
151,,Bangladesh,30,25.0557,2020-03-22,3,1
152,,Bangladesh,30,25.0557,2020-03-23,6,1
153,,Bangladesh,30,25.0557,2020-03-24,12,1
154,,Bangladesh,30,25.0557,2020-03-25,24,1
155,,Bangladesh,30,25.0557,2020-03-26,48,1
156,,Bangladesh,30,25.0557,2020-03-27,96,1
157,,Bangladesh,30,25.0557,2020-03-28,115,1
